Brand,Model,Year,Created On,Modified On
Lexus,LX 570,2021,2020-08-28,2021-04-26
Lexus,GS 460,2011,2013-01-01,2016-09-26
Lexus,RC 300,2022,2021-09-24,2022-11-08
Lexus,SC 300/SC 400,1995,2013-01-01,2013-01-01
Lexus,RZ 300e (18 inch wheels),2024,2024-05-02,2024-05-02
Lexus,ES 350,2011,2013-01-01,2016-09-26
Lexus,RC 300 AWD,2018,2018-01-03,2018-02-06
Lexus,GS 350 F Sport,2017,2016-09-26,2016-11-22
Lexus,GS 350,2008,2013-01-01,2013-01-01
Lexus,RC F,2020,2019-06-04,2019-08-26
Lexus,GS300,1993,2013-01-01,2013-01-01
Lexus,IS 250/IS 250C,2012,2013-01-01,2016-09-26
Lexus,ES 250 AWD,2021,2020-09-10,2021-08-10
Lexus,RX 350 2WD,2009,2013-01-01,2013-01-01
Lexus,CT 200h,2014,2013-11-04,2016-09-26
Lexus,IS 350,2022,2021-09-24,2022-01-12
Lexus,LX 570,2009,2013-01-01,2013-01-01
Lexus,UX 250h,2022,2021-09-14,2022-01-04
Lexus,IS 250 AWD,2014,2013-01-01,2016-09-26
Lexus,GS 460,2008,2013-01-01,2013-01-01
Lexus,LX 570,2016,2015-10-19,2016-09-26
Lexus,NX 300h,2016,2015-10-19,2017-04-05
Lexus,RX 400h 2WD,2007,2013-01-01,2020-06-02
Lexus,RX 450h AWD,2016,2015-11-04,2017-04-05
Lexus,LS 400,1995,2013-01-01,2013-01-01
Lexus,LX 470,2000,2013-01-01,2013-01-01
Lexus,RX 330 4WD,2005,2013-01-01,2013-01-01
Lexus,IS 300 AWD,2020,2019-10-02,2019-12-10
Lexus,IS 200t,2016,2015-09-04,2016-10-26
Lexus,LS 500h,2023,2023-03-16,2023-05-10
Lexus,LX 470,2003,2013-01-01,2013-01-01
Lexus,RX 300 4WD,2001,2013-01-01,2013-01-01
Lexus,IS 500,2024,2023-11-06,2024-05-29
Lexus,NX 300 AWD,2020,2019-06-04,2019-12-10
Lexus,RC F,2016,2015-11-19,2016-09-26
Lexus,GS 460,2010,2013-01-01,2013-01-01
Lexus,GX 460,2018,2017-09-01,2017-11-28
Lexus,GS 300/GS 400,1999,2013-01-01,2013-01-01
Lexus,GX 470,2005,2013-01-01,2013-01-01
Lexus,CT 200h,2013,2013-01-01,2020-06-02
Lexus,GS F,2019,2018-06-13,2018-12-18
Lexus,RX 450h AWD,2017,2016-09-13,2017-04-05
Lexus,LX 570,2008,2013-01-01,2013-01-01
Lexus,GS 350,2010,2013-01-01,2013-01-01
Lexus,IS F,2013,2013-01-01,2016-09-26
Lexus,LS 460 L,2007,2013-01-01,2013-01-01
Lexus,ES 300,1993,2013-01-01,2013-01-01
Lexus,RC F,2022,2021-09-24,2022-01-12
Lexus,RX 350,2023,2022-11-30,2023-01-11
Lexus,ES 300h,2018,2017-09-27,2017-10-23
Lexus,LS 500,2019,2018-10-17,2018-12-03
Lexus,UX 200,2021,2020-10-26,2021-08-03
Lexus,LS 460 L,2008,2013-01-01,2013-01-01
Lexus,RX 350 2WD,2008,2013-01-01,2013-01-01
Lexus,ES 300h,2022,2021-09-02,2022-01-04
Lexus,RZ 450e AWD (20 inch wheels),2024,2024-05-02,2024-05-02
Lexus,IS 350 AWD,2015,2014-07-31,2016-09-26
Lexus,LS 500h AWD,2024,2024-02-21,2024-05-29
Lexus,LC 500,2018,2017-05-03,2017-06-05
Lexus,LS 400,1993,2013-01-01,2013-01-01
Lexus,LC 500h,2022,2021-10-26,2022-10-13
Lexus,RX 330 4WD,2006,2013-01-01,2013-01-01
Lexus,GS 350 AWD,2014,2013-01-01,2016-09-26
Lexus,NX 300 AWD,2021,2020-08-04,2021-04-26
Lexus,LS 500h AWD,2022,2021-11-23,2022-12-05
Lexus,UX 250h AWD,2019,2019-01-29,2019-08-20
Lexus,LS 460,2016,2015-10-28,2016-09-26
Lexus,RX 400h 2WD,2008,2013-01-01,2020-06-02
Lexus,NX 300,2021,2020-08-04,2021-04-26
Lexus,LS 500h AWD,2024,2023-11-06,2024-05-29
Lexus,ES 300h,2016,2015-08-06,2017-04-05
Lexus,RX 350 AWD,2022,2021-08-24,2022-01-04
Lexus,GS 300/GS 430,2003,2013-01-01,2013-01-01
Lexus,GS 350 AWD,2008,2013-01-01,2013-01-01
Lexus,RC 350,2016,2015-11-19,2016-09-26
Lexus,ES 300h,2021,2020-09-10,2021-08-10
Lexus,IS 300,2005,2013-01-01,2013-01-01
Lexus,IS 300,2019,2018-10-17,2018-12-18
Lexus,RX 350,2024,2023-09-19,2024-05-29
Lexus,NX 250 AWD,2025,2024-04-16,2024-05-29
Lexus,LS 500 AWD,2018,2018-02-19,2018-04-25
Lexus,NX 350h AWD,2025,2024-04-16,2024-05-29
Lexus,SC 300/SC 400,1993,2013-01-01,2013-01-01
Lexus,RC 300 AWD,2017,2016-09-26,2016-11-22
Lexus,RC 350,2023,2022-10-26,2023-06-01
Lexus,ES 330,2004,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1998,2013-01-01,2013-01-01
Lexus,ES 300h,2019,2018-09-11,2019-08-20
Lexus,LC 500,2020,2019-07-08,2019-12-10
Lexus,RX 350 4WD,2008,2013-01-01,2013-01-01
Lexus,SC 430,2010,2013-01-01,2013-01-01
Lexus,LS 400,1999,2013-01-01,2013-01-01
Lexus,LX 570,2015,2014-09-18,2016-09-26
Lexus,LS 460,2007,2013-01-01,2013-01-01
Lexus,LS 500h,2018,2018-02-06,2018-04-25
Lexus,IS 300,2002,2013-01-01,2013-01-01
Lexus,IS 350 AWD,2019,2018-10-17,2018-12-18
Lexus,RX 350 4WD,2007,2013-01-01,2013-01-01
Lexus,IS 250,2009,2013-01-01,2013-01-01
Lexus,ES 350,2021,2020-09-10,2021-08-10
Lexus,ES 300,2002,2013-01-01,2013-01-01
Lexus,ES 330,2006,2013-01-01,2013-01-01
Lexus,LX 570,2018,2017-08-28,2017-11-28
Lexus,RX 350 AWD,2024,2023-09-19,2024-05-29
Lexus,SC 300/SC 400,1992,2013-01-01,2013-01-01
Lexus,RC 300 AWD,2023,2022-10-26,2023-06-01
Lexus,LX 570,2017,2016-08-25,2016-11-22
Lexus,LS 600h L,2013,2013-01-01,2020-06-02
Lexus,NX 300h AWD,2018,2017-10-04,2017-12-20
Lexus,LS 460,2008,2013-01-01,2013-01-01
