Brand,Model,Year,Created On,Modified On
Volvo,240,1990,2013-01-01,2013-01-01
Volvo,940 Wagon,1995,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1986,2013-01-01,2013-01-01
Volvo,XC90 AWD,2012,2013-01-01,2016-09-26
Volvo,240 DL/240 GL,1986,2013-01-01,2013-01-01
Volvo,740/760,1987,2013-01-01,2013-01-01
Volvo,XC70 AWD,2003,2013-01-01,2017-01-18
Volvo,V50 FWD,2011,2013-01-01,2016-09-26
Volvo,S80 FWD,2008,2013-01-01,2013-01-01
Volvo,740/760,1988,2013-01-01,2013-01-01
Volvo,XC60 FWD,2011,2013-01-01,2016-09-26
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,C70 FWD,2011,2013-01-01,2016-09-26
Volvo,850 Wagon,1995,2013-01-01,2016-04-04
Volvo,240 Wagon,1992,2013-01-01,2013-01-01
Volvo,V70 FWD,2001,2013-01-01,2013-01-01
Volvo,XC60 AWD PHEV,2019,2018-07-17,2023-06-23
Volvo,XC60 AWD,2016,2015-05-21,2016-09-26
Volvo,XC60 T8 AWD Recharge,2024,2023-11-06,2024-04-30
Volvo,XC90 AWD,2003,2013-01-01,2017-01-18
Volvo,S60 Inscription AWD,2018,2017-06-12,2018-02-06
Volvo,S60 Inscription AWD,2016,2015-05-21,2016-09-26
Volvo,S80 AWD,2011,2013-01-01,2016-09-26
Volvo,740/760 Wagon,1986,2013-01-01,2013-01-01
Volvo,V70 AWD,2002,2013-01-01,2013-01-01
Volvo,740,1989,2013-01-01,2013-01-01
Volvo,740 Wagon,1989,2013-01-01,2013-01-01
Volvo,S40 FWD,2011,2013-01-01,2016-09-26
Volvo,S60 AWD,2014,2013-01-01,2016-09-26
Volvo,240 DL/240 GL,1986,2013-01-01,2013-01-01
Volvo,XC90 B6 AWD,2024,2023-06-23,2024-04-30
Volvo,XC60 FWD,2020,2019-06-11,2019-11-08
Volvo,S60 AWD,2008,2013-01-01,2013-01-01
Volvo,850,1996,2013-01-01,2013-01-01
Volvo,240 DL/240 GL Wagon,1989,2013-01-01,2013-01-01
Volvo,S80,1999,2013-01-01,2013-01-01
Volvo,V60 CC AWD,2021,2020-06-11,2021-04-26
Volvo,V70 FWD,2002,2013-01-01,2013-01-01
Volvo,C70 Convertible,1998,2013-01-01,2013-01-01
Volvo,V40,2002,2013-01-01,2013-01-01
Volvo,740 Wagon,1990,2013-01-01,2013-01-01
Volvo,850,1997,2013-01-01,2013-01-01
Volvo,V60 AWD,2016,2015-05-21,2016-09-26
Volvo,S80 AWD,2010,2013-01-01,2013-01-01
Volvo,XC90 FWD,2020,2019-06-11,2019-11-08
Volvo,V60 T8 AWD Recharge ext. Range,2023,2022-12-05,2023-06-23
Volvo,S40 FWD,2000,2013-01-01,2013-01-01
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,S60 FWD,2015,2014-04-07,2016-09-26
Volvo,V60 CC AWD,2016,2015-05-21,2016-09-26
Volvo,780,1989,2013-01-01,2013-01-01
